"sd_group","date","year","month","avrain"
"Central West",1917-03-01,1917,3,18.6131386861314
"Central West",1917-04-01,1917,4,20.329197080292
"Central West",1917-05-01,1917,5,29.0248175182482
"Central West",1917-06-01,1917,6,63.3766423357665
"Central West",1917-07-01,1917,7,72.0204379562044
"Central West",1917-08-01,1917,8,75.9094890510949
"Central West",1917-09-01,1917,9,60.9861313868613
"Central West",1917-10-01,1917,10,75.6153284671533
"Central West",1917-11-01,1917,11,122.421897810219
"Central West",1917-12-01,1917,12,45.1532846715329
"Central West",1918-01-01,1918,1,91.4547445255475
"Central West",1918-02-01,1918,2,35.5890510948905
"Central West",1918-03-01,1918,3,27.3051094890511
"Central West",1918-04-01,1918,4,34.7474452554745
"Central West",1918-05-01,1918,5,28.0547445255474
"Central West",1918-06-01,1918,6,32.0773722627737
"Central West",1918-07-01,1918,7,34.2620437956204
"Central West",1918-08-01,1918,8,80.9175182481752
"Central West",1918-09-01,1918,9,17.1613138686131
"Central West",1918-10-01,1918,10,24.1846715328467
"Central West",1918-11-01,1918,11,11.4970802919708
"Central West",1918-12-01,1918,12,10.285401459854
"Central West",1919-01-01,1919,1,14.1321167883212
"Central West",1919-02-01,1919,2,36.3036496350365
"Central West",1919-03-01,1919,3,18.1299270072993
"Central West",1919-04-01,1919,4,15.1489051094891
"Central West",1919-05-01,1919,5,84.2963503649635
"Central West",1919-06-01,1919,6,11.7160583941606
"Central West",1919-07-01,1919,7,10.5649635036496
"Central West",1919-08-01,1919,8,28.0700729927007
"Central West",1919-09-01,1919,9,25.2372262773723
"Central West",1919-10-01,1919,10,13.2795620437956
"Central West",1919-11-01,1919,11,12.5233576642336
"Central West",1919-12-01,1919,12,77.207299270073
"Central West",1920-01-01,1920,1,38.0138686131387
"Central West",1920-02-01,1920,2,15.3240875912409
"Central West",1920-03-01,1920,3,35.4357664233577
"Central West",1920-04-01,1920,4,19.7576642335767
"Central West",1920-05-01,1920,5,8.1978102189781
"Central West",1920-06-01,1920,6,114.131386861314
"Central West",1920-07-01,1920,7,79.7839416058394
"Central West",1920-08-01,1920,8,66.8737226277372
"Central West",1920-09-01,1920,9,62.4686131386861
"Central West",1920-10-01,1920,10,43.4948905109489
"Central West",1920-11-01,1920,11,46.370802919708
"Central West",1920-12-01,1920,12,126.83503649635
"Central West",1921-01-01,1921,1,47.5934306569343
"Central West",1921-02-01,1921,2,25.1058394160584
"Central West",1921-03-01,1921,3,60.6138686131387
"Central West",1921-04-01,1921,4,73.1343065693431
"Central West",1921-05-01,1921,5,83.2496350364963
"Central West",1921-06-01,1921,6,75.6693430656935
"Central West",1921-07-01,1921,7,46.4649635036496
"Central West",1921-08-01,1921,8,41.6270072992701
"Central West",1921-09-01,1921,9,41.3554744525547
"Central West",1921-10-01,1921,10,33.9182481751825
"Central West",1921-11-01,1921,11,36.0905109489051
"Central West",1921-12-01,1921,12,106.398540145985
"Central West",1922-01-01,1922,1,47.6065693430657
"Central West",1922-02-01,1922,2,28.1613138686131
"Central West",1922-03-01,1922,3,5.12408759124088
"Central West",1922-04-01,1922,4,33.7766423357664
"Central West",1922-05-01,1922,5,25.4240875912409
"Central West",1922-06-01,1922,6,29.3357664233577
"Central West",1922-07-01,1922,7,92.5620437956205
"Central West",1922-08-01,1922,8,26.5569343065693
"Central West",1922-09-01,1922,9,30.7255474452555
"Central West",1922-10-01,1922,10,27.1905109489051
"Central West",1922-11-01,1922,11,2.20583941605839
"Central West",1922-12-01,1922,12,77.392700729927
"Central West",1923-01-01,1923,1,24.4642335766423
"Central West",1923-02-01,1923,2,2.25401459854015
"Central West",1923-03-01,1923,3,12.1350364963504
"Central West",1923-04-01,1923,4,8.84525547445255
"Central West",1923-05-01,1923,5,19.136496350365
"Central West",1923-06-01,1923,6,127.540145985402
"Central West",1923-07-01,1923,7,77.1313868613139
"Central West",1923-08-01,1923,8,28.2591240875912
"Central West",1923-09-01,1923,9,58.736496350365
