"year","month","rain_bom_stn","rain_awap","rain_emast"
1923,9,46.3,57.2999992370605,NA
1923,10,30.3,29.2999992370605,NA
1923,11,34.3,30.2000007629395,NA
1923,12,36.4,40.9000015258789,NA
1924,1,63.3,65.8000030517578,NA
1924,2,125.4,93,NA
1924,3,92.6,75,NA
1924,4,132.4,132.199996948242,NA
1924,5,19.1,14.8999996185303,NA
1924,6,12.1,16.5,NA
1924,7,29.7,33.5999984741211,NA
1924,8,48,50.4000015258789,NA
1924,9,62,64.1999969482422,NA
1924,10,22.4,27,NA
1924,11,82.5,94.6999969482422,NA
1924,12,57,57.7000007629395,NA
1925,1,81.2,96.3000030517578,NA
1925,2,15.5,32,NA
1925,3,62.3,62,NA
1925,4,12.3,12.1999998092651,NA
1925,5,187.1,180.399993896484,NA
1925,6,106.4,116.099998474121,NA
1925,7,6.6,6.30000019073486,NA
1925,8,46.6,51.2000007629395,NA
1925,9,10.2,9.10000038146973,NA
1925,10,17,19,NA
1925,11,63,76.9000015258789,NA
1925,12,19.9,20.5,NA
1926,1,20.9,21.1000003814697,NA
1926,2,10.6,9.69999980926514,NA
1926,3,152.2,190,NA
1926,4,62.2,72.1999969482422,NA
1926,5,62.3,54.5999984741211,NA
1926,6,54.1,38.5,NA
1926,7,30.4,37.7999992370605,NA
1926,8,22,26.2000007629395,NA
1926,9,45,46,NA
1926,10,12.1,6.90000009536743,NA
1926,11,3.8,3.90000009536743,NA
1926,12,132.9,149.800003051758,NA
1927,1,133.3,103.400001525879,NA
1927,2,9.2,7.40000009536743,NA
1927,3,71.9,54.5999984741211,NA
1927,4,310.2,340.399993896484,NA
1927,5,18.2,16.5,NA
1927,6,26,19.7999992370605,NA
1927,7,1,0.699999988079071,NA
1927,8,4.6,1.20000004768372,NA
1927,9,19.5,16.6000003814697,NA
1927,10,54.5,56.4000015258789,NA
1927,11,136.1,140.699996948242,NA
1927,12,31.7,62.2999992370605,NA
1928,1,47.9,60.2999992370605,NA
1928,2,195.6,184.600006103516,NA
1928,3,88.5,96.1999969482422,NA
1928,4,59.6,59.0999984741211,NA
1928,5,16.7,16,NA
1928,6,157.4,127.099998474121,NA
1928,7,78.9,76.1999969482422,NA
1928,8,8.1,12.5,NA
1928,9,4.2,4.30000019073486,NA
1928,10,38.7,40.2999992370605,NA
1928,11,2.9,5.90000009536743,NA
1928,12,25.4,24.2000007629395,NA
1929,1,3.9,3.90000009536743,NA
1929,2,287.9,270.200012207031,NA
1929,3,60.5,67.6999969482422,NA
1929,4,72.9,79.6999969482422,NA
1929,5,90.4,70,NA
1929,6,38.9,43.5,NA
1929,7,46.7,41.2999992370605,NA
1929,8,50.7,65.8000030517578,NA
1929,9,70.9,80.3000030517578,NA
1929,10,191.3,193.300003051758,NA
1929,11,71.8,76.3000030517578,NA
1929,12,33.1,40.9000015258789,NA
1930,1,92.1,89.3000030517578,NA
1930,2,25.7,17.8999996185303,NA
1930,3,88.2,87.1999969482422,NA
1930,4,54.5,51.5999984741211,NA
1930,5,57.2,55.7000007629395,NA
