Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,67019,1901,09,50.9,Y
IDCJAC0001,67019,1901,10,43.1,Y
IDCJAC0001,67019,1901,11,44.6,Y
IDCJAC0001,67019,1901,12,6.8,Y
IDCJAC0001,67019,1902,01,37.6,Y
IDCJAC0001,67019,1902,02,2.8,Y
IDCJAC0001,67019,1902,03,18.7,Y
IDCJAC0001,67019,1902,04,26.6,Y
IDCJAC0001,67019,1902,05,13.4,Y
IDCJAC0001,67019,1902,06,5.0,Y
IDCJAC0001,67019,1902,07,32.9,Y
IDCJAC0001,67019,1902,08,31.3,Y
IDCJAC0001,67019,1902,09,63.9,Y
IDCJAC0001,67019,1902,10,113.5,Y
IDCJAC0001,67019,1902,11,46.8,Y
IDCJAC0001,67019,1902,12,77.2,Y
IDCJAC0001,67019,1903,01,68.0,Y
IDCJAC0001,67019,1903,02,3.1,Y
IDCJAC0001,67019,1903,03,72.4,Y
IDCJAC0001,67019,1903,04,34.7,Y
IDCJAC0001,67019,1903,05,55.7,Y
IDCJAC0001,67019,1903,06,29.0,Y
IDCJAC0001,67019,1903,07,92.9,Y
IDCJAC0001,67019,1903,08,58.3,Y
IDCJAC0001,67019,1903,09,101.7,Y
IDCJAC0001,67019,1903,10,66.7,Y
IDCJAC0001,67019,1903,11,25.9,Y
IDCJAC0001,67019,1903,12,111.7,Y
IDCJAC0001,67019,1904,01,29.7,Y
IDCJAC0001,67019,1904,02,95.6,Y
IDCJAC0001,67019,1904,03,46.9,Y
IDCJAC0001,67019,1904,04,250.4,Y
IDCJAC0001,67019,1904,05,35.4,Y
IDCJAC0001,67019,1904,06,2.5,Y
IDCJAC0001,67019,1904,07,323.7,Y
IDCJAC0001,67019,1904,08,50.1,Y
IDCJAC0001,67019,1904,09,19.3,Y
IDCJAC0001,67019,1904,10,47.8,Y
IDCJAC0001,67019,1904,11,17.0,Y
IDCJAC0001,67019,1904,12,15.5,Y
IDCJAC0001,67019,1905,01,38.0,Y
IDCJAC0001,67019,1905,02,31.8,Y
IDCJAC0001,67019,1905,03,98.7,Y
IDCJAC0001,67019,1905,04,81.5,Y
